,Neighborhood,Housing,Safety,Transit,Shopping,Health,Entertainment,Community,Diversity,Education,Employment,Latitude,Longitude
129,Brookhaven-Amesbury,22.1,37.1,19.3,52.1,36.4,56.4,32.1,77.1,2.1,18.6,43.6995483,-79.4974171
130,Black Creek,28.6,24.3,40.7,40.0,44.3,15.7,56.4,83.6,7.9,0.7,43.7731818,-79.5159484
131,Victoria Village,2.9,51.4,39.3,34.3,24.3,23.6,30.7,60.7,67.1,25.0,43.7317554,-79.3386281
132,Rockcliffe-Smythe,37.1,24.3,32.1,48.6,2.1,22.9,45.0,63.6,34.3,26.4,43.6676833,-79.5079592
133,Kingsview Village-The Westway,65.7,27.9,20.0,29.3,18.6,5.7,46.4,72.1,5.7,22.1,43.7013438,-79.5336005
134,Eglinton East,17.9,21.4,26.4,51.4,20.7,60.7,26.4,68.6,35.7,2.9,43.7374012,-79.2453111
135,Rustic,37.1,91.4,8.6,11.4,4.3,12.1,35.0,73.6,13.6,8.6,43.7156819,-79.5047057
136,Etobicoke West Mall,20.0,87.1,20.7,2.9,11.4,10.0,6.4,57.1,30.7,48.6,43.6475559,-79.5762984
137,Westminster-Branson,2.1,47.9,4.3,32.1,5.7,8.6,45.0,86.4,54.3,30.7,43.7840433,-79.4595607
138,Parkwoods-Donalda,5.7,35.7,30.0,14.3,13.6,14.3,36.4,51.4,71.4,42.1,43.753664,-79.3416917
139,West Hill,27.9,12.9,6.4,21.4,57.1,20.0,27.1,45.7,70.0,9.3,43.778871,-79.1905302
